Category: All categories
Country,Bitcoin: (10/1/17 - 2/6/18)
Guam,100
Swaziland,71
Bermuda,70
Gibraltar,62
Kosovo,58
South Africa,58
Greenland,58
Liechtenstein,57
Cayman Islands,57
Australia,54
Malta,51
Slovenia,50
CuraÌ¤ao,49
Palau,49
South Korea,48
Faroe Islands,48
Aruba,47
Netherlands,46
Botswana,46
Singapore,45
China,45
Israel,45
Canada,43
Mongolia,43
Bahamas,42
Austria,41
Brunei,40
United Arab Emirates,39
Switzerland,39
Monaco,38
Ghana,37
Estonia,37
Jersey,36
New Zealand,35
Isle of Man,35
Norway,34
Barbados,34
Georgia,33
Pakistan,33
United States,32
Namibia,32
Iceland,32
Caribbean Netherlands,32
Luxembourg,31
Latvia,31
Nigeria,30
Ireland,30
Philippines,30
Hong Kong,30
Antigua & Barbuda,30
Maldives,29
St. Helena,29
U.S. Virgin Islands,29
Sint Maarten,29
Lithuania,29
Cyprus,29
St. Kitts & Nevis,28
United Kingdom,28
Malaysia,28
Andorra,28
Turks & Caicos Islands,28
ÌÉland Islands,27
Northern Mariana Islands,27
Germany,26
Qatar,26
Denmark,26
Czechia,26
Belgium,25
Russia,25
Guernsey,25
Croatia,25
Papua New Guinea,24
Macedonia (FYROM),24
Sweden,24
Bulgaria,24
Bahrain,24
Macau,24
Trinidad & Tobago,23
Turkey,23
India,23
Zimbabwe,23
Anguilla,23
Lesotho,22
San Marino,22
Lebanon,21
St. Pierre & Miquelon,21
Slovakia,21
Kuwait,20
Ukraine,20
Finland,20
Venezuela,20
Nepal,20
St. Martin,20
Serbia,19
Grenada,19
Romania,19
Afghanistan,18
Suriname,18
Moldova,18
Mauritius,18
Uganda,18
Belarus,18
Djibouti,18
Kenya,18
Montenegro,17
Panama,17
Seychelles,17
Uzbekistan,17
Armenia,17
French Polynesia,16
Kazakhstan,16
South Sudan,15
Belize,15
Cambodia,15
St. Lucia,15
Portugal,15
Vietnam,15
Bangladesh,15
Japan,15
Palestine,14
Indonesia,14
Italy,14
Jamaica,14
Cuba,14
Albania,14
Brazil,14
Hungary,14
Equatorial Guinea,14
Poland,13
Benin,13
Spain,13
Oman,13
Central African Republic,13
Fiji,13
Vanuatu,13
Bosnia & Herzegovina,12
British Virgin Islands,12
Azerbaijan,12
Taiwan,12
Cape Verde,12
Myanmar (Burma),12
Togo,12
Samoa,12
Tanzania,12
Saudi Arabia,11
Solomon Islands,11
Rwanda,11
Sri Lanka,11
Bhutan,11
France,11
Kyrgyzstan,11
Colombia,11
Puerto Rico,11
Cameroon,10
Thailand,10
Dominican Republic,10
Costa Rica,10
Laos,10
Morocco,10
Greece,10
Tunisia,10
Guyana,9
Western Sahara,9
Jordan,9
New Caledonia,9
Angola,9
Iran,9
Libya,9
Uruguay,8
Ethiopia,8
CÌ«te d‰ÛªIvoire,8
Turkmenistan,8
Zambia,8
Madagascar,8
Malawi,8
Argentina,8
Tajikistan,8
Egypt,7
Paraguay,7
Mauritania,7
Somalia,7
Timor-Leste,7
French Guiana,7
Mexico,7
American Samoa,6
St. Vincent & Grenadines,6
Dominica,6
Algeria,6
Chile,6
Bolivia,6
Nicaragua,6
Guadeloupe,6
RÌ©union,6
Mozambique,6
Peru,6
Haiti,6
Sierra Leone,6
Liberia,6
Senegal,6
El Salvador,6
Ecuador,6
Martinique,5
Congo - Kinshasa,5
Burundi,5
Guatemala,5
Niger,5
Gambia,4
Honduras,4
Syria,4
Gabon,4
Sudan,4
St. BarthÌ©lemy,4
Congo - Brazzaville,4
Mali,4
Mayotte,3
Burkina Faso,3
Iraq,3
Yemen,3
Tonga,3
Guinea,3
Chad,<1
