date, google
2017-10-01,5
2017-10-02,6
2017-10-03,6
2017-10-04,6
2017-10-05,7
2017-10-06,7
2017-10-07,4
2017-10-08,4
2017-10-09,8
2017-10-10,8
2017-10-11,6
2017-10-12,9
2017-10-13,15
2017-10-14,8
2017-10-15,5
2017-10-16,8
2017-10-17,8
2017-10-18,13
2017-10-19,5
2017-10-20,12
2017-10-21,14
2017-10-22,7
2017-10-23,14
2017-10-24,15
2017-10-25,11
2017-10-26,12
2017-10-27,9
2017-10-28,5
2017-10-29,9
2017-10-30,8
2017-10-31,13
2017-11-01,15
2017-11-02,21
2017-11-03,18
2017-11-04,10
2017-11-05,11
2017-11-06,13
2017-11-07,11
2017-11-08,16
2017-11-09,12
2017-11-10,22
2017-11-11,19
2017-11-12,25
2017-11-13,18
2017-11-14,11
2017-11-15,10
2017-11-16,13
2017-11-17,20
2017-11-18,13
2017-11-19,7
2017-11-20,17
2017-11-21,18
2017-11-22,13
2017-11-23,13
2017-11-24,10
2017-11-25,10
2017-11-26,23
2017-11-27,20
2017-11-28,25
2017-11-29,52
2017-11-30,36
2017-12-01,25
2017-12-02,17
2017-12-03,22
2017-12-04,23
2017-12-05,24
2017-12-06,40
2017-12-07,68
2017-12-08,55
2017-12-09,38
2017-12-10,42
2017-12-11,36
2017-12-12,32
2017-12-13,34
2017-12-14,30
2017-12-15,25
2017-12-16,31
2017-12-17,27
2017-12-18,30
2017-12-19,37
2017-12-20,65
2017-12-21,43
2017-12-22,100
2017-12-23,39
2017-12-24,35
2017-12-25,21
2017-12-26,24
2017-12-27,24
2017-12-28,35
2017-12-29,21
2017-12-30,27
2017-12-31,15
2018-01-01,14
2018-01-02,18
2018-01-03,17
2018-01-04,16
2018-01-05,20
2018-01-06,11
2018-01-07,12
2018-01-08,19
2018-01-09,21
2018-01-10,22
2018-01-11,29
2018-01-12,21
2018-01-13,14
2018-01-14,15
2018-01-15,17
2018-01-16,58
2018-01-17,54
2018-01-18,25
2018-01-19,23
2018-01-20,16
2018-01-21,18
2018-01-22,29
2018-01-23,21
2018-01-24,19
2018-01-25,18
2018-01-26,20
2018-01-27,11
2018-01-28,11
2018-01-29,17
2018-01-30,20
2018-01-31,19
2018-02-01,39
2018-02-02,45
2018-02-03,20
2018-02-04,21
2018-02-05,36
2018-02-06,52
