Category: All categories

Country,Bitcoin: (10/1/17 - 2/6/18)
South Africa,100
Australia,92
Slovenia,86
South Korea,83
Netherlands,80
Singapore,78
Israel,77
Canada,74
Austria,70
United Arab Emirates,68
Switzerland,67
Ghana,65
New Zealand,61
Norway,59
Georgia,57
Pakistan,56
United States,56
Latvia,53
Nigeria,52
Ireland,52
Philippines,51
Hong Kong,51
St. Helena,49
Lithuania,49
United Kingdom,49
Malaysia,49
Germany,46
Denmark,45
Czechia,44
Belgium,43
Russia,43
Croatia,42
Sweden,42
Bulgaria,42
Turkey,40
India,40
Slovakia,35
Ukraine,34
Finland,34
Venezuela,34
Serbia,33
Romania,33
Belarus,31
Kenya,31
Kazakhstan,27
Portugal,26
Vietnam,26
Bangladesh,25
Japan,25
Indonesia,24
Italy,24
Brazil,24
Hungary,24
Poland,23
Spain,23
Taiwan,21
Saudi Arabia,19
France,19
Colombia,18
Thailand,18
Morocco,17
Greece,17
Iran,15
Argentina,13
Egypt,13
Mexico,11
Chile,11
Peru,10
